,resale_price,engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power,seats,mileage,body_type,city,model_year,model,car_age
0,545000.0,1197.0,Third Party insurance,Manual,40000.0,First Owner,Petrol,83.1,5.0,21.4,Hatchback,Agra,2017,Maruti Baleno,6.0
2,450000.0,1197.0,Third Party insurance,Manual,70000.0,Second Owner,Petrol,83.14,5.0,20.85,Sedan,Agra,2015,Maruti Swift,8.0
4,160000.0,1086.0,Third Party insurance,Manual,80000.0,First Owner,Petrol,68.05,5.0,19.81,Hatchback,Agra,2009,Hyundai i10,14.0
5,470000.0,1197.0,Third Party insurance,Manual,70000.0,First Owner,Petrol,81.86,5.0,17.19,Hatchback,Agra,2015,Hyundai i20,8.0
6,360000.0,1047.0,Third Party insurance,Manual,120000.0,First Owner,Diesel,69.0,5.0,27.28,Hatchback,Agra,2017,Tata Tiago,6.0
7,200000.0,1086.0,Third Party insurance,Manual,60000.0,Second Owner,Petrol,68.05,5.0,19.81,Hatchback,Agra,2010,Hyundai i10,13.0
8,370000.0,1196.0,Third Party insurance,Manual,20000.0,First Owner,Petrol,73.0,7.0,15.37,Minivans,Agra,2016,Maruti Eeco,7.0
10,330000.0,1198.0,Third Party insurance,Manual,70000.0,First Owner,Petrol,86.7,5.0,18.0,Sedan,Agra,2014,Honda Amaze,9.0
11,475000.0,1197.0,Third Party insurance,Manual,60000.0,Second Owner,Petrol,81.86,5.0,20.14,Sedan,Agra,2018,Hyundai Xcent,5.0
12,686000.0,1462.0,Third Party insurance,Manual,50000.0,Third Owner,Petrol,103.25,5.0,21.56,Sedan,Agra,2020,Maruti Ciaz,3.0
13,1250000.0,1493.0,Third Party insurance,Manual,60000.0,First Owner,Diesel,98.6,5.0,23.7,SUV,Agra,2021,Hyundai Venue,2.0
14,1100000.0,1396.0,Third Party insurance,Manual,60000.0,First Owner,Diesel,89.0,5.0,23.7,SUV,Agra,2021,Hyundai Venue,2.0
15,395000.0,998.0,Third Party insurance,Automatic,20000.0,First Owner,Petrol,67.1,5.0,23.95,Hatchback,Agra,2019,Maruti Alto,4.0
16,350000.0,998.0,Third Party insurance,Manual,40000.0,First Owner,CNG,58.16,5.0,26.6,Hatchback,Agra,2016,Maruti Wagon,7.0
17,289000.0,1496.0,Third Party insurance,Manual,50000.0,Second Owner,Petrol,88.7,5.0,17.6,Sedan,Agra,2011,Toyota Etios,12.0
19,1000000.0,998.0,Third Party insurance,Manual,10000.0,First Owner,Petrol,118.36,5.0,18.2,SUV,Agra,2021,Kia Sonet,2.0
20,785000.0,1462.0,Third Party insurance,Manual,30000.0,Second Owner,Petrol,103.25,5.0,20.65,Sedan,Agra,2020,Maruti Ciaz,3.0
23,375000.0,1248.0,Third Party insurance,Manual,20000.0,First Owner,Diesel,74.0,5.0,26.59,Sedan,Agra,2015,Maruti Swift,8.0
24,100000.0,998.0,Third Party insurance,Manual,120000.0,Third Owner,Petrol,67.1,5.0,20.92,Hatchback,Agra,2011,Maruti Alto,12.0
26,675000.0,1197.0,Third Party insurance,Manual,40000.0,First Owner,Petrol,81.8,5.0,21.01,Hatchback,Agra,2021,Maruti Baleno,2.0
27,465000.00000000006,1197.0,Third Party insurance,Manual,60000.0,Second Owner,Petrol,81.86,5.0,20.14,Sedan,Agra,2018,Hyundai Xcent,5.0
28,480000.0,1197.0,Third Party insurance,Manual,80000.0,Second Owner,Petrol,83.14,5.0,20.85,Sedan,Agra,2015,Maruti Swift,8.0
29,225000.0,796.0,Third Party insurance,Manual,100000.0,First Owner,Petrol,47.3,5.0,22.74,Hatchback,Agra,2014,Maruti Alto,9.0
30,320000.0,998.0,Third Party insurance,Manual,70000.0,Second Owner,Petrol,67.04,5.0,20.51,Hatchback,Agra,2016,Maruti Wagon,7.0
31,415000.00000000006,1197.0,Third Party insurance,Manual,30000.0,First Owner,Petrol,82.0,5.0,18.9,Hatchback,Agra,2015,Hyundai Grand,8.0
32,240000.0,1248.0,Third Party insurance,Manual,120000.0,Third Owner,Diesel,74.0,5.0,22.9,Hatchback,Agra,2012,Maruti Swift,11.0
37,316000.0,1199.0,Third Party insurance,Manual,100000.0,First Owner,Petrol,84.0,5.0,23.84,Hatchback,Agra,2018,Tata Tiago,5.0
38,750000.0,1248.0,Third Party insurance,Manual,100000.0,Second Owner,Diesel,88.5,5.0,24.3,SUV,Agra,2017,Maruti Vitara,6.0
39,900000.0,1248.0,Third Party insurance,Manual,120000.0,First Owner,Diesel,88.5,7.0,25.47,MUV,Agra,2019,Maruti Ertiga,4.0
40,560000.0,998.0,Third Party insurance,Manual,10000.0,First Owner,Petrol,65.71,5.0,25.24,Hatchback,Agra,2022,Maruti Celerio,1.0
42,900000.0,1396.0,Third Party insurance,Manual,120000.0,Second Owner,Diesel,88.7,5.0,22.1,SUV,Agra,2017,Hyundai Creta,6.0
43,280000.0,796.0,Third Party insurance,Manual,80000.0,First Owner,Petrol,47.33,5.0,22.05,Hatchback,Agra,2019,Maruti Alto,4.0
48,480000.0,1186.0,Third Party insurance,Manual,20000.0,First Owner,Diesel,73.97,5.0,24.0,Hatchback,Agra,2017,Hyundai Grand,6.0
53,800000.0,1197.0,Third Party insurance,Manual,10000.0,First Owner,Petrol,81.8,5.0,21.0,Hatchback,Agra,2022,Hyundai i20,1.0
54,200000.0,1199.0,Third Party insurance,Manual,80000.0,Fifth Owner,Diesel,73.9,5.0,22.07,Hatchback,Agra,2012,Volkswagen Polo,11.0
55,740000.0,1248.0,Third Party insurance,Manual,80000.0,Second Owner,Diesel,88.5,5.0,24.3,SUV,Agra,2019,Maruti Vitara,4.0
56,150000.0,1086.0,Third Party insurance,Manual,30000.0,First Owner,Petrol,62.1,5.0,17.92,Hatchback,Agra,2009,Hyundai Santro,14.0
57,520000.0,1248.0,Third Party insurance,Manual,30000.0,First Owner,Diesel,74.0,5.0,26.59,Sedan,Agra,2016,Maruti Swift,7.0
58,170000.0,1197.0,Third Party insurance,Manual,80000.0,Third Owner,Petrol,78.9,5.0,20.36,Hatchback,Agra,2010,Hyundai i10,13.0
59,710000.0,1197.0,Third Party insurance,Manual,30000.0,First Owner,Petrol,81.86,5.0,17.52,SUV,Agra,2021,Hyundai Venue,2.0
60,950000.0,999.0,Third Party insurance,Manual,20000.0,First Owner,Petrol,108.62,5.0,18.97,Sedan,Agra,2021,Skoda Rapid,2.0
61,240000.0,1399.0,Third Party insurance,Manual,70000.0,First Owner,Diesel,68.05,5.0,20.0,Hatchback,Agra,2013,Ford Figo,10.0
62,930000.0000000001,999.0,Third Party insurance,Manual,20000.0,First Owner,Petrol,108.62,5.0,18.97,Sedan,Agra,2021,Skoda Rapid,2.0
64,150000.0,814.0,Third Party insurance,Manual,50000.0,Second Owner,Petrol,55.2,5.0,21.1,Hatchback,Agra,2013,Hyundai EON,10.0
65,380000.0,1197.0,Third Party insurance,Manual,30000.0,First Owner,Petrol,82.0,5.0,18.9,Hatchback,Agra,2015,Hyundai Grand,8.0
66,590000.0,1199.0,Third Party insurance,Manual,30000.0,First Owner,Petrol,86.63,5.0,20.09,SUV,Agra,2021,Tata Punch,2.0
68,300000.0,1364.0,Third Party insurance,Manual,40000.0,First Owner,Diesel,67.06,5.0,23.59,Hatchback,Agra,2013,Toyota Etios,10.0
69,500000.0,1461.0,Third Party insurance,Manual,120000.0,First Owner,Diesel,83.8,5.0,19.87,SUV,Agra,2017,Renault Duster,6.0
70,210000.0,796.0,Third Party insurance,Manual,20000.0,First Owner,Petrol,47.3,5.0,22.74,Hatchback,Agra,2015,Maruti Alto,8.0
71,100000.0,998.0,Third Party insurance,Manual,90000.0,Second Owner,Petrol,67.1,5.0,18.9,Hatchback,Agra,2009,Maruti Wagon,14.0
73,1349000.0,1493.0,Third Party insurance,Manual,70000.0,First Owner,Diesel,113.43,5.0,20.8,SUV,Agra,2020,Kia Seltos,3.0
75,475000.0,998.0,Third Party insurance,Manual,20000.0,First Owner,Petrol,67.05,5.0,21.79,Hatchback,Agra,2019,Maruti Wagon,4.0
76,320000.0,1461.0,Third Party insurance,Manual,90000.0,Second Owner,Diesel,83.8,5.0,20.45,SUV,Agra,2014,Nissan Terrano,9.0
78,370000.0,1197.0,Third Party insurance,Manual,60000.0,Second Owner,Petrol,82.0,5.0,18.9,Hatchback,Agra,2015,Hyundai Grand,8.0
79,110000.00000000001,1061.0,Third Party insurance,Manual,90000.0,Second Owner,Petrol,67.0,5.0,18.9,Hatchback,Agra,2009,Maruti Wagon,14.0
81,550000.0,1499.0,Third Party insurance,Manual,60000.0,Second Owner,Diesel,98.96,5.0,24.4,Hatchback,Agra,2020,Ford Figo,3.0
82,390000.0,1498.0,Third Party insurance,Manual,90000.0,Second Owner,Diesel,98.6,5.0,27.3,Hatchback,Agra,2015,Honda Jazz,8.0
83,250000.0,1086.0,Third Party insurance,Manual,20000.0,Second Owner,Petrol,68.05,5.0,19.81,Hatchback,Agra,2017,Hyundai i10,6.0
84,200000.0,796.0,Third Party insurance,Manual,80000.0,First Owner,Petrol,47.3,5.0,22.74,Hatchback,Agra,2013,Maruti Alto,10.0
85,725000.0,1197.0,Third Party insurance,Manual,10000.0,First Owner,Petrol,88.5,5.0,22.41,Sedan,Agra,2022,Maruti Swift,1.0
86,450000.0,1498.0,Third Party insurance,Manual,110000.0,First Owner,Diesel,98.6,5.0,27.3,Hatchback,Agra,2017,Honda Jazz,6.0
87,750000.0,1498.0,Third Party insurance,Manual,120000.0,First Owner,Diesel,97.9,5.0,25.6,Sedan,Agra,2017,Honda City,6.0
89,206000.0,796.0,Third Party insurance,Manual,80000.0,First Owner,Petrol,47.3,5.0,22.74,Hatchback,Agra,2013,Maruti Alto,10.0
92,210000.0,796.0,Third Party insurance,Manual,80000.0,First Owner,Petrol,47.3,5.0,22.74,Hatchback,Agra,2013,Maruti Alto,10.0
94,185000.0,799.0,Third Party insurance,Manual,60000.0,Second Owner,Petrol,53.3,5.0,25.17,Hatchback,Agra,2016,Renault KWID,7.0
95,300000.0,1197.0,Third Party insurance,Manual,70000.0,Third Owner,Petrol,82.0,5.0,18.9,Hatchback,Agra,2014,Hyundai Grand,9.0
96,50000.0,995.0,Third Party insurance,Manual,60000.0,Third Owner,Petrol,62.0,5.0,18.0,Hatchback,Agra,2009,Chevrolet Spark,14.0
97,50000.0,995.0,Third Party insurance,Manual,60000.0,Second Owner,Petrol,62.0,5.0,18.0,Hatchback,Agra,2009,Chevrolet Spark,14.0
98,250000.0,1120.0,Third Party insurance,Manual,100000.0,Second Owner,Diesel,70.0,5.0,24.0,Hatchback,Agra,2013,Hyundai Grand,10.0
99,190000.0,1586.0,Third Party insurance,Manual,120000.0,Second Owner,Petrol,103.3,5.0,15.5,Sedan,Agra,2012,Maruti SX4,11.0
100,650000.0,1197.0,Third Party insurance,Manual,40000.0,First Owner,Petrol,81.8,5.0,21.21,Sedan,Agra,2019,Maruti Swift,4.0
102,190000.0,1498.0,Third Party insurance,Manual,120000.0,First Owner,Diesel,98.6,5.0,25.8,Sedan,Agra,2013,Honda Amaze,10.0
103,570000.0,1197.0,Third Party insurance,Manual,80000.0,Second Owner,Petrol,83.1,5.0,21.4,Hatchback,Agra,2019,Maruti Baleno,4.0
104,350000.0,1248.0,Third Party insurance,Manual,80000.0,Second Owner,Diesel,74.0,5.0,23.4,Sedan,Agra,2014,Maruti Swift,9.0
105,380000.0,1498.0,Third Party insurance,Manual,120000.0,Fourth Owner,Diesel,98.6,5.0,26.0,Sedan,Agra,2014,Honda City,9.0
106,780000.0,1248.0,Third Party insurance,Manual,100000.0,First Owner,Diesel,88.5,5.0,24.3,SUV,Agra,2019,Maruti Vitara,4.0
107,240000.0,799.0,Third Party insurance,Manual,20000.0,First Owner,Petrol,53.3,5.0,25.17,Hatchback,Agra,2018,Renault KWID,5.0
108,840000.0,1199.0,Third Party insurance,Manual,10000.0,First Owner,Petrol,118.35,5.0,17.33,SUV,Agra,2021,Tata Nexon,2.0
109,250000.0,1498.0,Third Party insurance,Manual,100000.0,Second Owner,Diesel,89.84,5.0,22.7,SUV,Agra,2013,Ford Ecosport,10.0
110,400000.0,1248.0,Third Party insurance,Manual,100000.0,Second Owner,Diesel,74.0,5.0,25.2,Hatchback,Agra,2014,Maruti Swift,9.0
111,150000.0,1061.0,Third Party insurance,Manual,80000.0,First Owner,Petrol,67.0,5.0,18.9,Hatchback,Agra,2009,Maruti Wagon,14.0
114,270000.0,1198.0,Third Party insurance,Manual,30000.0,Second Owner,Petrol,67.0,7.0,19.44,MUV,Agra,2015,Datsun GO,8.0
116,220000.00000000003,936.0,Third Party insurance,Manual,70000.0,Second Owner,Diesel,57.6,5.0,25.44,Hatchback,Agra,2012,Chevrolet Beat,11.0
117,600000.0,1498.0,Third Party insurance,Manual,50000.0,First Owner,Diesel,99.0,5.0,25.83,Sedan,Agra,2017,Ford Aspire,6.0
119,495000.0,1197.0,Third Party insurance,Manual,20000.0,First Owner,Petrol,81.8,5.0,20.52,Hatchback,Agra,2019,Maruti Wagon,4.0
120,980000.0000000001,1197.0,Third Party insurance,Automatic,60000.0,First Owner,Petrol,108.62,5.0,16.5,SUV,Agra,2022,Mahindra XUV300,1.0
121,1375000.0,1353.0,Third Party insurance,Automatic,20000.0,First Owner,Petrol,138.0,5.0,16.2,SUV,Agra,2019,Kia Seltos,4.0
122,340000.0,998.0,Third Party insurance,Manual,40000.0,First Owner,Petrol,67.04,5.0,20.51,Hatchback,Agra,2015,Maruti Wagon,8.0
123,1300000.0,1451.0,Third Party insurance,Automatic,40000.0,Second Owner,Petrol,141.0,5.0,13.96,SUV,Agra,2020,MG Hector,3.0
124,600000.0,1198.0,Third Party insurance,Manual,70000.0,First Owner,Petrol,108.5,5.0,17.0,SUV,Agra,2019,Tata Nexon,4.0
125,300000.0,1198.0,Third Party insurance,Manual,60000.0,First Owner,Petrol,86.8,5.0,19.4,Hatchback,Agra,2012,Honda Brio,11.0
127,1099000.0,1496.0,Third Party insurance,Manual,40000.0,First Owner,Petrol,105.94,5.0,17.1,Sedan,Agra,2020,Toyota Yaris,3.0
129,434999.99999999994,999.0,Third Party insurance,Manual,20000.0,First Owner,Petrol,72.0,7.0,20.0,MUV,Agra,2019,Renault Triber,4.0
130,186000.0,998.0,Third Party insurance,Manual,100000.0,Second Owner,Petrol,67.1,5.0,18.9,Hatchback,Agra,2012,Maruti Wagon,11.0
133,450000.0,1461.0,Third Party insurance,Manual,120000.0,Second Owner,Diesel,108.45,5.0,19.01,SUV,Agra,2012,Renault Duster,11.0
134,650000.0,1396.0,Third Party insurance,Manual,80000.0,First Owner,Diesel,88.73,5.0,22.54,Hatchback,Agra,2017,Hyundai i20,6.0
136,130000.0,1197.0,Third Party insurance,Manual,50000.0,First Owner,Petrol,78.9,5.0,20.36,Hatchback,Agra,2009,Hyundai i10,14.0
137,500000.0,1248.0,Third Party insurance,Manual,70000.0,First Owner,Diesel,74.0,5.0,25.2,Hatchback,Agra,2017,Maruti Swift,6.0
138,950000.0,1493.0,Third Party insurance,Manual,10000.0,First Owner,Diesel,74.96,7.0,16.0,SUV,Agra,2021,Mahindra Bolero,2.0
139,700000.0,1582.0,Third Party insurance,Manual,120000.0,Third Owner,Diesel,126.2,5.0,19.67,SUV,Agra,2017,Hyundai Creta,6.0
142,320000.0,999.0,Third Party insurance,Automatic,20000.0,First Owner,Petrol,67.0,5.0,24.04,Hatchback,Agra,2018,Renault KWID,5.0
143,200000.0,1197.0,Third Party insurance,Manual,40000.0,First Owner,Petrol,78.9,5.0,20.36,Hatchback,Agra,2011,Hyundai i10,12.0
144,409999.99999999994,1197.0,Third Party insurance,Manual,90000.0,Second Owner,Petrol,81.83,5.0,18.6,Hatchback,Agra,2015,Hyundai i20,8.0
145,440000.00000000006,1197.0,Third Party insurance,Manual,30000.0,Second Owner,Petrol,81.8,5.0,21.21,Hatchback,Agra,2016,Maruti Swift,7.0
148,630000.0,1197.0,Third Party insurance,Manual,30000.0,First Owner,Petrol,81.8,5.0,21.01,Hatchback,Agra,2020,Toyota Glanza,3.0
150,350000.0,1196.0,Third Party insurance,Manual,100000.0,Second Owner,Petrol,73.0,7.0,15.37,Minivans,Agra,2018,Maruti Eeco,5.0
152,150000.0,1199.0,Third Party insurance,Manual,90000.0,First Owner,Petrol,79.4,5.0,18.6,Hatchback,Agra,2011,Chevrolet Beat,12.0
154,425000.0,1248.0,Third Party insurance,Manual,80000.0,Second Owner,Diesel,74.0,5.0,26.59,Sedan,Agra,2016,Maruti Swift,7.0
155,400000.0,1197.0,Third Party insurance,Manual,70000.0,Second Owner,Petrol,83.14,5.0,20.85,Sedan,Agra,2017,Maruti Swift,6.0
156,459999.99999999994,1197.0,Third Party insurance,Manual,30000.0,Second Owner,Petrol,81.8,5.0,21.21,Hatchback,Agra,2016,Maruti Swift,7.0
157,330000.0,1198.0,Third Party insurance,Manual,70000.0,First Owner,Diesel,77.0,6.0,25.32,SUV,Agra,2017,Mahindra KUV,6.0
158,470000.0,999.0,Third Party insurance,Manual,30000.0,First Owner,Petrol,71.02,5.0,18.75,SUV,Agra,2021,Nissan Magnite,2.0
159,1150000.0,1582.0,Third Party insurance,Automatic,70000.0,Second Owner,Diesel,126.2,5.0,17.6,SUV,Agra,2018,Hyundai Creta,5.0
160,725000.0,1462.0,Third Party insurance,Manual,60000.0,Second Owner,Petrol,103.25,5.0,20.65,Sedan,Agra,2020,Maruti Ciaz,3.0
161,400000.0,1396.0,Third Party insurance,Manual,80000.0,Third Owner,Diesel,88.73,5.0,21.19,Hatchback,Agra,2015,Hyundai i20,8.0
163,1450000.0,1498.0,Third Party insurance,Manual,40000.0,First Owner,Petrol,108.49,5.0,15.43,SUV,Agra,2022,MG Astor,1.0
164,690000.0,1197.0,Third Party insurance,Manual,40000.0,First Owner,Petrol,81.83,5.0,18.6,Hatchback,Agra,2020,Hyundai i20,3.0
165,350000.0,1197.0,Third Party insurance,Manual,120000.0,Fourth Owner,Petrol,81.83,5.0,18.6,Hatchback,Agra,2015,Hyundai i20,8.0
169,425000.0,1248.0,Third Party insurance,Manual,80000.0,Third Owner,Diesel,88.8,7.0,20.77,MUV,Agra,2013,Maruti Ertiga,10.0
171,600000.0,1199.0,Third Party insurance,Manual,10000.0,First Owner,Petrol,86.63,5.0,20.09,SUV,Agra,2022,Tata Punch,1.0
174,160000.0,998.0,Third Party insurance,Manual,70000.0,Fourth Owner,CNG,58.2,5.0,26.2,Hatchback,Agra,2011,Maruti Wagon,12.0
176,140000.0,1199.0,Third Party insurance,Manual,90000.0,Third Owner,Diesel,75.0,5.0,20.86,Hatchback,Agra,2011,Skoda Fabia,12.0
178,225000.0,998.0,Third Party insurance,Manual,60000.0,First Owner,Petrol,67.1,5.0,18.9,Hatchback,Agra,2011,Maruti Wagon,12.0
179,550000.0,1197.0,Third Party insurance,Manual,40000.0,Second Owner,Petrol,81.86,5.0,18.6,Hatchback,Agra,2019,Hyundai i20,4.0
180,140000.0,998.0,Third Party insurance,Manual,60000.0,First Owner,Petrol,66.1,5.0,19.0,Hatchback,Agra,2009,Maruti A-Star,14.0
181,400000.0,998.0,Third Party insurance,Manual,20000.0,First Owner,CNG,58.16,5.0,26.6,Hatchback,Agra,2017,Maruti Wagon,6.0
182,900000.0,1582.0,Third Party insurance,Manual,90000.0,First Owner,Diesel,126.2,5.0,22.0,Sedan,Agra,2018,Hyundai Verna,5.0
184,350000.0,1498.0,Third Party insurance,Manual,120000.0,First Owner,Diesel,89.84,5.0,22.7,SUV,Agra,2013,Ford Ecosport,10.0
185,140000.0,814.0,Third Party insurance,Manual,100000.0,Second Owner,Petrol,55.2,5.0,21.1,Hatchback,Agra,2013,Hyundai EON,10.0
186,700000.0,1197.0,Third Party insurance,Manual,30000.0,First Owner,Petrol,81.8,5.0,21.01,Hatchback,Agra,2021,Maruti Baleno,2.0
187,880000.0000000001,1462.0,Third Party insurance,Automatic,50000.0,First Owner,Petrol,103.26,5.0,18.76,SUV,Agra,2020,Toyota Urban,3.0
192,320000.0,1248.0,Third Party insurance,Manual,90000.0,Third Owner,Diesel,88.7,5.0,23.0,Sedan,Agra,2016,Tata Zest,7.0
194,400000.0,998.0,Third Party insurance,Manual,30000.0,First Owner,Petrol,67.04,5.0,20.51,Hatchback,Agra,2017,Maruti Wagon,6.0
195,125000.0,1248.0,Third Party insurance,Manual,100000.0,Second Owner,Diesel,73.9,5.0,21.1,Hatchback,Agra,2010,Maruti Ritz,13.0
196,500000.0,1197.0,Third Party insurance,Manual,50000.0,First Owner,Petrol,81.83,5.0,18.6,Hatchback,Agra,2018,Hyundai i20,5.0
197,380000.0,1047.0,Third Party insurance,Manual,70000.0,First Owner,Diesel,69.0,5.0,27.28,Hatchback,Agra,2017,Tata Tiago,6.0
198,150000.0,936.0,Third Party insurance,Manual,80000.0,First Owner,Diesel,57.6,5.0,25.44,Hatchback,Agra,2011,Chevrolet Beat,12.0
199,509999.99999999994,1186.0,Third Party insurance,Manual,60000.0,First Owner,Diesel,73.97,5.0,24.0,Hatchback,Agra,2017,Hyundai Grand,6.0
202,250000.0,998.0,Third Party insurance,Manual,50000.0,Third Owner,Petrol,67.04,5.0,20.51,Hatchback,Agra,2015,Maruti Wagon,8.0
203,400000.0,1248.0,Third Party insurance,Manual,120000.0,Third Owner,Diesel,74.0,5.0,26.59,Sedan,Agra,2015,Maruti Swift,8.0
204,370000.0,1582.0,Third Party insurance,Manual,90000.0,Second Owner,Diesel,126.32,5.0,22.32,Sedan,Agra,2012,Hyundai Verna,11.0
236,550000.0,1396.0,Third Party insurance,Manual,100000.0,First Owner,Diesel,88.73,5.0,22.54,Hatchback,Agra,2017,Hyundai i20,6.0
237,785000.0,1197.0,Third Party insurance,Automatic,30000.0,First Owner,Petrol,81.8,5.0,21.21,Hatchback,Lucknow,2020,Maruti Swift,3.0
238,408000.0,1197.0,Comprehensive,Manual,76469.0,First Owner,Petrol,88.5,5.0,22.41,Sedan,Lucknow,2015,Maruti Swift,8.0
239,330000.0,1198.0,Third Party,Manual,118976.0,First Owner,Petrol,86.7,5.0,18.0,Sedan,Lucknow,2014,Honda Amaze,9.0
241,357000.0,998.0,Third Party,Manual,27817.0,Second Owner,Petrol,65.71,5.0,24.39,Hatchback,Lucknow,2019,Maruti Alto,4.0
242,366000.0,998.0,Third Party,Automatic,62001.0,Third Owner,Petrol,67.04,5.0,23.1,Hatchback,Lucknow,2016,Maruti Celerio,7.0
243,628000.0,1248.0,Third Party,Manual,73081.0,First Owner,Diesel,88.5,5.0,24.3,SUV,Lucknow,2018,Maruti Vitara,5.0
244,713000.0,999.0,Zero Dep,Manual,26387.0,First Owner,Petrol,98.63,5.0,20.0,SUV,Lucknow,2021,Nissan Magnite,2.0
245,155000.0,936.0,Third Party insurance,Manual,80000.0,Second Owner,Diesel,57.6,5.0,25.44,Hatchback,Lucknow,2013,Chevrolet Beat,10.0
246,190000.0,1298.0,Third Party insurance,Manual,70000.0,First Owner,Petrol,85.8,5.0,17.5,Sedan,Lucknow,2008,Maruti Swift,15.0
247,60000.0,1199.0,Third Party insurance,Manual,50000.0,Second Owner,Petrol,79.4,5.0,18.6,Hatchback,Lucknow,2011,Chevrolet Beat,12.0
248,640000.0,1248.0,Third Party insurance,Manual,100000.0,Second Owner,Diesel,88.5,7.0,24.52,MUV,Lucknow,2016,Maruti Ertiga,7.0
249,250000.0,1197.0,Third Party insurance,Manual,70000.0,Second Owner,Petrol,78.9,5.0,20.36,Hatchback,Lucknow,2012,Hyundai i10,11.0
250,390000.0,1197.0,Third Party insurance,Manual,120000.0,Third Owner,Petrol,83.14,5.0,20.85,Sedan,Lucknow,2015,Maruti Swift,8.0
251,550000.0,1396.0,Third Party insurance,Manual,90000.0,Second Owner,Diesel,88.73,5.0,22.54,Hatchback,Lucknow,2015,Hyundai i20,8.0
252,728000.0,1199.0,Zero Dep,Manual,49551.0,First Owner,CNG,72.4,5.0,26.49,Sedan,Lucknow,2022,Tata Tigor,1.0
253,432000.0,1197.0,Third Party,Manual,91117.0,First Owner,Petrol,83.1,5.0,21.4,Hatchback,Lucknow,2016,Maruti Baleno,7.0
255,505999.99999999994,1197.0,Third Party,Manual,69056.0,First Owner,Petrol,83.1,5.0,21.4,Hatchback,Lucknow,2017,Maruti Baleno,6.0
256,634000.0,1197.0,Third Party,Manual,37503.0,First Owner,Petrol,81.8,5.0,21.01,Hatchback,Lucknow,2019,Maruti Baleno,4.0
257,336000.0,998.0,Comprehensive,Manual,47202.0,First Owner,Petrol,67.04,5.0,20.51,Hatchback,Lucknow,2016,Maruti Wagon,7.0
258,542000.0,1199.0,Third Party,Manual,37746.0,First Owner,Petrol,88.7,5.0,17.5,SUV,Lucknow,2017,Honda WR-V,6.0
259,654000.0,1498.0,Third Party,Manual,57535.0,Second Owner,Diesel,98.96,5.0,23.0,SUV,Lucknow,2018,Ford Ecosport,5.0
260,556000.0,1197.0,Third Party,Manual,47909.0,First Owner,Petrol,81.83,5.0,18.6,Hatchback,Lucknow,2018,Hyundai i20,5.0
262,585000.0,999.0,Third Party insurance,Automatic,10000.0,First Owner,Petrol,71.01,5.0,19.03,SUV,Lucknow,2022,Renault Kiger,1.0
263,380000.0,1248.0,Third Party insurance,Manual,90000.0,Second Owner,Diesel,74.0,5.0,23.4,Sedan,Lucknow,2014,Maruti Swift,9.0
264,600000.0,1498.0,Third Party insurance,Manual,70000.0,First Owner,Diesel,98.59,5.0,22.77,SUV,Lucknow,2016,Ford Ecosport,7.0
266,480000.0,998.0,Third Party insurance,Manual,50000.0,First Owner,Petrol,67.05,5.0,21.79,Hatchback,Lucknow,2020,Maruti Wagon,3.0
267,350000.0,1248.0,Zero Dep,Manual,69981.0,First Owner,Diesel,74.0,5.0,25.2,Hatchback,Lucknow,2015,Maruti Swift,8.0
268,541000.0,1197.0,Zero Dep,Manual,18185.0,First Owner,Petrol,83.1,5.0,21.4,Hatchback,Lucknow,2018,Maruti Baleno,5.0
269,641000.0,1197.0,Comprehensive,Manual,97254.0,Second Owner,Petrol,81.8,5.0,21.21,Sedan,Lucknow,2018,Maruti Swift,5.0
270,508000.0,998.0,Third Party insurance,Manual,19910.0,First Owner,Petrol,67.05,5.0,21.79,Hatchback,Lucknow,2019,Maruti Wagon,4.0
271,775000.0,1498.0,Third Party,Manual,40680.0,First Owner,Diesel,97.89,5.0,24.7,Sedan,Lucknow,2021,Honda Amaze,2.0
273,292000.0,814.0,Third Party,Manual,66198.0,First Owner,Petrol,55.2,5.0,21.1,Hatchback,Lucknow,2018,Hyundai EON,5.0
274,480000.0,998.0,Third Party,Automatic,97829.0,First Owner,Petrol,67.0,5.0,21.63,Hatchback,Lucknow,2018,Maruti Celerio,5.0
275,484999.99999999994,1498.0,Third Party insurance,Manual,80000.0,Second Owner,Diesel,98.6,5.0,25.8,Sedan,Lucknow,2015,Honda Amaze,8.0
277,650000.0,1197.0,Third Party insurance,Manual,50000.0,First Owner,Petrol,81.86,5.0,18.6,Hatchback,Lucknow,2020,Hyundai i20,3.0
278,675000.0,1498.0,Third Party insurance,Manual,90000.0,Second Owner,Diesel,98.6,5.0,26.0,Sedan,Lucknow,2017,Honda City,6.0
280,254999.99999999997,1799.0,Third Party insurance,Manual,100000.0,Third Owner,Petrol,130.2,5.0,14.8,Sedan,Lucknow,2010,Honda Civic,13.0
281,653000.0,1199.0,Zero Dep,Manual,39240.0,First Owner,Petrol,88.76,5.0,19.5,Sedan,Lucknow,2018,Honda Amaze,5.0
282,785000.0,1462.0,Zero Dep,Manual,4055.0,First Owner,Petrol,103.26,5.0,17.03,SUV,Lucknow,2021,Maruti Vitara,2.0
283,291000.0,796.0,Comprehensive,Manual,62433.0,First Owner,Petrol,47.3,5.0,24.7,Hatchback,Lucknow,2018,Maruti Alto,5.0
