,resale_price,engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power,seats,mileage,body_type,city,model_year,model,car_age
3342,246000.0,999.0,Comprehensive,Manual,42000.0,First Owner,Petrol,67.06,5.0,21.46,Hatchback,Kolkata,2016,Renault KWID,7.0
3343,434999.99999999994,1364.0,Comprehensive,Manual,85000.0,First Owner,Diesel,67.04,5.0,23.59,Sedan,Kolkata,2014,Toyota Etios,9.0
3345,215000.0,1197.0,Comprehensive,Manual,42000.0,First Owner,Petrol,83.14,5.0,20.85,Sedan,Kolkata,2011,Maruti Swift,12.0
3347,150000.0,814.0,Comprehensive,Manual,37052.0,First Owner,Petrol,55.2,5.0,21.1,Hatchback,Kolkata,2013,Hyundai EON,10.0
3348,1350000.0,1353.0,Comprehensive,Automatic,36392.0,First Owner,Petrol,138.08,5.0,16.5,SUV,Kolkata,2019,Kia Seltos,4.0
3352,200000.0,1461.0,Third Party insurance,Manual,65000.0,First Owner,Diesel,83.8,5.0,20.45,SUV,Kolkata,2013,Renault Duster,10.0
3353,484999.99999999994,1199.0,Third Party,Manual,33946.0,First Owner,Petrol,88.76,5.0,18.6,Sedan,Kolkata,2019,Honda Amaze,4.0
3354,1149000.0,1493.0,Comprehensive,Manual,14000.0,First Owner,Diesel,113.45,5.0,25.0,Sedan,Kolkata,2021,Hyundai Verna,2.0
3355,375000.0,998.0,Comprehensive,Manual,38768.0,First Owner,Petrol,67.05,5.0,21.79,Hatchback,Kolkata,2018,Maruti Wagon,5.0
3357,1350000.0,1493.0,Third Party insurance,Manual,50000.0,First Owner,Diesel,113.43,5.0,20.8,SUV,Kolkata,2021,Kia Seltos,2.0
3359,315000.0,1498.0,Third Party insurance,Manual,52000.0,First Owner,Diesel,98.6,5.0,25.8,Sedan,Kolkata,2015,Honda Amaze,8.0
3360,325000.0,1591.0,Comprehensive,Manual,52000.0,First Owner,Petrol,121.3,5.0,17.01,Sedan,Kolkata,2013,Hyundai Verna,10.0
3361,199000.0,1498.0,Comprehensive,Manual,61000.0,First Owner,Petrol,97.64,5.0,16.95,Sedan,Kolkata,2013,Renault Scala,10.0
3362,325000.0,1199.0,Comprehensive,Manual,51000.0,First Owner,Petrol,88.7,5.0,18.7,Hatchback,Kolkata,2015,Honda Jazz,8.0
3364,799000.0,1591.0,Comprehensive,Manual,51000.0,First Owner,Petrol,121.3,5.0,15.29,SUV,Kolkata,2018,Hyundai Creta,5.0
3365,740000.0,1199.0,Comprehensive,Manual,21000.0,First Owner,Petrol,118.35,5.0,17.33,SUV,Kolkata,2021,Tata Nexon,2.0
3371,799000.0,1496.0,Comprehensive,Automatic,37000.0,First Owner,Petrol,105.94,5.0,17.8,Sedan,Kolkata,2018,Toyota Yaris,5.0
3372,799000.0,1591.0,Comprehensive,Automatic,46000.0,First Owner,Petrol,121.3,5.0,13.0,SUV,Kolkata,2016,Hyundai Creta,7.0
3373,499000.0,1598.0,Comprehensive,Automatic,54000.0,First Owner,Petrol,103.52,5.0,14.3,Sedan,Kolkata,2016,Skoda Rapid,7.0
3374,755000.0,1497.0,Comprehensive,Manual,45652.0,First Owner,Petrol,117.3,5.0,17.8,Sedan,Kolkata,2018,Honda City,3.0
3376,1200000.0,1497.0,Comprehensive,Manual,69007.0,First Owner,Petrol,113.43,5.0,16.8,SUV,Kolkata,2021,Kia Seltos,2.0
